hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
cambridge,0,bellman,7,0,0,0.938320,0.938320,0.000000
cambridge,1,bellman,7,0,0,0.911430,0.911430,0.000000
cambridge,2,bellman,7,1,0,0.515960,0.502100,0.013860
cambridge,3,bellman,7,2,0,0.502000,0.470070,0.031930
jakarta,0,bellman,7,3,0,0.981580,0.981580,0.000000
jakarta,1,bellman,7,3,0,0.980050,0.980040,0.000010
jakarta,2,bellman,7,3,0,0.983110,0.983100,0.000010
jakarta,3,bellman,7,3,0,0.984580,0.984580,0.000000
jakarta,4,bellman,7,3,0,0.986610,0.986610,-0.000000
jakarta,5,bellman,7,0,0,0.981820,0.981820,-0.000000
yorktown,0,bellman,7,3,0,0.955880,0.955880,-0.000000
yorktown,1,bellman,7,3,0,0.954360,0.954360,-0.000000
yorktown,2,bellman,7,3,0,0.954280,0.954280,0.000000
yorktown,3,bellman,7,3,0,0.957400,0.957400,-0.000000
yorktown,4,bellman,7,3,0,0.942550,0.942550,0.000000
yorktown,5,bellman,7,0,0,0.965030,0.965030,-0.000000
yorktown,6,bellman,7,0,0,0.961360,0.961360,-0.000000
yorktown,7,bellman,7,3,0,0.950240,0.950240,0.000000
athens,0,bellman,7,0,0,0.979120,0.979120,-0.000000
athens,1,bellman,7,0,0,0.981300,0.981300,-0.000000
athens,2,bellman,7,4,0,0.960170,0.959390,0.000780
athens,3,bellman,7,0,0,0.971980,0.971980,-0.000000
athens,4,bellman,7,5,0,0.953850,0.953850,-0.000000
athens,5,bellman,7,0,0,0.958470,0.958470,0.000000
perfect_hardware,0,bellman,7,0,0,1.000000,1.000000,0.000000
melbourne,0,bellman,7,0,0,0.952590,0.952590,0.000000
melbourne,1,bellman,7,0,0,0.957690,0.957690,0.000000
melbourne,2,bellman,7,0,0,0.909940,0.909940,0.000000
melbourne,3,bellman,7,3,0,0.925690,0.925690,0.000000
rochester,0,bellman,7,0,0,0.926530,0.926530,0.000000
rochester,1,bellman,7,5,0,0.943180,0.943180,0.000000
rochester,2,bellman,7,5,0,0.909660,0.909660,-0.000000
rochester,3,bellman,7,0,0,0.921960,0.921960,0.000000
vigo,0,bellman,7,0,0,0.981720,0.981720,-0.000000
vigo,1,bellman,7,0,0,0.978210,0.978210,-0.000000
vigo,2,bellman,7,3,0,0.981480,0.981480,-0.000000
vigo,3,bellman,7,3,0,0.982640,0.982640,0.000000
belem,0,bellman,7,0,0,0.973050,0.973050,0.000000
belem,1,bellman,7,0,0,0.969300,0.969300,0.000000
belem,2,bellman,7,0,0,0.970340,0.970340,0.000000
belem,3,bellman,7,0,0,0.970700,0.970700,-0.000000
brooklyn,0,bellman,7,0,0,0.984170,0.984170,-0.000000
brooklyn,1,bellman,7,0,0,0.982890,0.982890,-0.000000
brooklyn,2,bellman,7,4,0,0.917560,0.910440,0.007120
brooklyn,3,bellman,7,3,0,0.910320,0.910320,-0.000000
guadalupe,0,bellman,7,0,0,0.981130,0.981130,-0.000000
guadalupe,1,bellman,7,0,0,0.978640,0.978640,0.000000
guadalupe,2,bellman,7,3,0,0.978410,0.978400,0.000010
guadalupe,3,bellman,7,3,0,0.981870,0.981870,-0.000000
almaden,0,bellman,7,0,0,0.939020,0.939020,-0.000000
almaden,1,bellman,7,3,0,0.924080,0.924080,-0.000000
almaden,2,bellman,7,3,0,0.965890,0.965890,0.000000
almaden,3,bellman,7,3,0,0.971130,0.971130,0.000000
manhattan,0,bellman,7,4,0,0.500930,0.499850,0.001080
manhattan,1,bellman,7,4,0,0.500930,0.499850,0.001080
manhattan,2,bellman,7,3,0,0.971700,0.971700,0.000000
manhattan,3,bellman,7,3,0,0.972700,0.972700,0.000000
valencia,0,bellman,7,0,0,0.980200,0.980200,-0.000000
valencia,1,bellman,7,0,0,0.978070,0.978070,0.000000
valencia,2,bellman,7,0,0,0.974560,0.974560,0.000000
valencia,3,bellman,7,0,0,0.976770,0.976770,-0.000000
boeblingen,0,bellman,7,0,0,0.955320,0.955320,-0.000000
boeblingen,1,bellman,7,3,0,0.964830,0.964830,0.000000
boeblingen,2,bellman,7,3,0,0.961670,0.961670,0.000000
boeblingen,3,bellman,7,3,0,0.967360,0.967350,0.000010
bogota,0,bellman,7,3,0,0.968400,0.968400,0.000000
bogota,1,bellman,7,3,0,0.975410,0.975410,-0.000000
bogota,2,bellman,7,0,0,0.897950,0.897950,-0.000000
bogota,3,bellman,7,0,0,0.938860,0.938860,-0.000000
bogota,4,bellman,7,4,0,0.904920,0.897660,0.007260
bogota,5,bellman,7,3,0,0.936040,0.936040,0.000000
santiago,0,bellman,7,0,0,0.986080,0.986080,0.000000
santiago,1,bellman,7,0,0,0.986560,0.986560,0.000000
santiago,2,bellman,7,3,0,0.986540,0.986540,-0.000000
santiago,3,bellman,7,3,0,0.987270,0.987270,0.000000
santiago,4,bellman,7,3,0,0.988300,0.988300,-0.000000
santiago,5,bellman,7,3,0,0.988800,0.988800,-0.000000
singapore,0,bellman,7,0,0,0.970400,0.970400,-0.000000
singapore,1,bellman,7,0,0,0.968460,0.968460,-0.000000
singapore,2,bellman,7,3,0,0.963100,0.963100,0.000000
singapore,3,bellman,7,3,0,0.968290,0.968290,0.000000
johannesburg,0,bellman,7,0,0,0.951530,0.951530,-0.000000
johannesburg,1,bellman,7,0,0,0.937360,0.937360,-0.000000
johannesburg,2,bellman,7,0,0,0.953320,0.953320,0.000000
johannesburg,3,bellman,7,0,0,0.954320,0.954320,0.000000
rome,0,bellman,7,3,0,0.971930,0.971920,0.000010
rome,1,bellman,7,0,0,0.979070,0.979070,-0.000000
rome,2,bellman,7,0,0,0.971010,0.971010,-0.000000
rome,3,bellman,7,0,0,0.976850,0.976850,-0.000000
rome,4,bellman,7,0,0,0.982590,0.982590,0.000000
rome,5,bellman,7,0,0,0.982760,0.982760,0.000000
burlington,0,bellman,7,3,0,0.962960,0.962960,-0.000000
burlington,1,bellman,7,0,0,0.953080,0.953080,0.000000
burlington,2,bellman,7,3,0,0.962670,0.962670,0.000000
burlington,3,bellman,7,0,0,0.971010,0.971010,-0.000000
poughkeepsie,0,bellman,7,0,0,0.866660,0.866660,-0.000000
poughkeepsie,1,bellman,7,3,0,0.858200,0.858190,0.000010
poughkeepsie,2,bellman,7,3,0,0.961020,0.961020,-0.000000
poughkeepsie,3,bellman,7,3,0,0.963950,0.963950,-0.000000
kolkata,0,bellman,7,4,0,0.914380,0.898680,0.015700
kolkata,1,bellman,7,4,0,0.922330,0.915150,0.007180
kolkata,2,bellman,7,3,0,0.986930,0.986930,-0.000000
kolkata,3,bellman,7,3,0,0.984430,0.984430,0.000000
quito,0,bellman,7,0,0,0.932920,0.932920,0.000000
quito,1,bellman,7,0,0,0.907540,0.907540,-0.000000
quito,2,bellman,7,4,0,0.911500,0.904660,0.006840
quito,3,bellman,7,0,0,0.921780,0.921780,0.000000
hanoi,0,bellman,7,3,0,0.988270,0.988270,-0.000000
hanoi,1,bellman,7,3,0,0.983560,0.983560,0.000000
hanoi,2,bellman,7,0,0,0.986330,0.986330,0.000000
hanoi,3,bellman,7,3,0,0.987890,0.987890,0.000000
ourense,0,bellman,7,0,0,0.985260,0.985260,0.000000
ourense,1,bellman,7,0,0,0.982760,0.982760,0.000000
ourense,2,bellman,7,0,0,0.982940,0.982940,0.000000
ourense,3,bellman,7,0,0,0.985280,0.985280,-0.000000
washington,0,bellman,7,3,0,0.877940,0.877940,0.000000
washington,1,bellman,7,6,0,0.501800,0.472910,0.028890
washington,2,bellman,7,3,0,0.971090,0.971090,-0.000000
washington,3,bellman,7,4,0,0.978740,0.977940,0.000800
auckland,0,bellman,7,3,0,0.983340,0.983340,-0.000000
auckland,1,bellman,7,3,0,0.983870,0.983870,0.000000
auckland,2,bellman,7,4,0,0.965760,0.963530,0.002230
auckland,3,bellman,7,5,0,0.973180,0.973180,0.000000
essex,0,bellman,7,0,0,0.967940,0.967940,0.000000
essex,1,bellman,7,0,0,0.957410,0.957410,0.000000
essex,2,bellman,7,0,0,0.950780,0.950780,-0.000000
essex,3,bellman,7,0,0,0.956920,0.956920,-0.000000
manila,0,bellman,7,3,0,0.974130,0.974120,0.000010
manila,1,bellman,7,3,0,0.978550,0.978550,0.000000
manila,2,bellman,7,3,0,0.972850,0.972840,0.000010
manila,3,bellman,7,3,0,0.974850,0.974840,0.000010
manila,4,bellman,7,3,0,0.979660,0.979650,0.000010
manila,5,bellman,7,3,0,0.984090,0.984080,0.000010
montreal,0,bellman,7,0,0,0.985090,0.985090,0.000000
montreal,1,bellman,7,3,0,0.985270,0.985270,0.000000
montreal,2,bellman,7,5,0,0.981660,0.981660,0.000000
montreal,3,bellman,7,0,0,0.982200,0.982200,0.000000
london,0,bellman,7,3,0,0.982020,0.982020,0.000000
london,1,bellman,7,3,0,0.978870,0.978870,-0.000000
london,2,bellman,7,0,0,0.962820,0.962820,0.000000
london,3,bellman,7,3,0,0.967470,0.967470,-0.000000
mumbai,0,bellman,7,4,0,0.952260,0.951030,0.001230
mumbai,1,bellman,7,3,0,0.969290,0.969290,0.000000
mumbai,2,bellman,7,3,0,0.989330,0.989320,0.000010
mumbai,3,bellman,7,3,0,0.988970,0.988970,0.000000
geneva,0,bellman,7,0,0,0.961800,0.961800,0.000000
geneva,1,bellman,7,0,0,0.970670,0.970670,0.000000
geneva,2,bellman,7,3,0,0.970420,0.970410,0.000010
geneva,3,bellman,7,0,0,0.961320,0.961320,-0.000000
lima,0,bellman,7,0,0,0.984360,0.984360,-0.000000
lima,1,bellman,7,3,0,0.981860,0.981860,-0.000000
lima,2,bellman,7,3,0,0.965310,0.965310,0.000000
lima,3,bellman,7,3,0,0.972750,0.972750,0.000000
lagos,0,bellman,7,0,0,0.979550,0.979550,-0.000000
lagos,1,bellman,7,0,0,0.978670,0.978670,0.000000
lagos,2,bellman,7,0,0,0.954690,0.954690,-0.000000
lagos,3,bellman,7,0,0,0.966280,0.966280,-0.000000
lagos,4,bellman,7,0,0,0.967530,0.967530,0.000000
lagos,5,bellman,7,0,0,0.954470,0.954470,-0.000000
toronto,0,bellman,7,0,0,0.955900,0.955900,-0.000000
toronto,1,bellman,7,3,0,0.958670,0.958670,0.000000
toronto,2,bellman,7,3,0,0.978390,0.978390,0.000000
toronto,3,bellman,7,0,0,0.955550,0.955550,-0.000000
perth,0,bellman,7,0,0,0.986830,0.986830,-0.000000
perth,1,bellman,7,0,0,0.984800,0.984800,-0.000000
perth,2,bellman,7,0,0,0.984120,0.984120,0.000000
perth,3,bellman,7,0,0,0.986910,0.986910,0.000000
perth,4,bellman,7,0,0,0.975930,0.975930,0.000000
perth,5,bellman,7,0,0,0.970550,0.970550,-0.000000
sydney,0,bellman,7,3,0,0.957910,0.957910,0.000000
sydney,1,bellman,7,3,0,0.974630,0.974630,-0.000000
sydney,2,bellman,7,3,0,0.981400,0.981400,-0.000000
sydney,3,bellman,7,0,0,0.973740,0.973740,0.000000
cairo,0,bellman,7,3,0,0.989880,0.989880,0.000000
cairo,1,bellman,7,0,0,0.990230,0.990230,-0.000000
cairo,2,bellman,7,4,0,0.938840,0.934860,0.003980
cairo,3,bellman,7,3,0,0.936720,0.936720,-0.000000
casablanca,0,bellman,7,3,0,0.972290,0.972290,0.000000
casablanca,1,bellman,7,0,0,0.965400,0.965400,0.000000
casablanca,2,bellman,7,3,0,0.977310,0.977310,-0.000000
casablanca,3,bellman,7,3,0,0.979840,0.979840,0.000000
casablanca,4,bellman,7,0,0,0.976740,0.976740,-0.000000
casablanca,5,bellman,7,0,0,0.973920,0.973920,0.000000
oslo,0,bellman,7,5,0,0.983060,0.983060,0.000000
oslo,1,bellman,7,0,0,0.981560,0.981560,0.000000
oslo,2,bellman,7,0,0,0.982590,0.982590,0.000000
oslo,3,bellman,7,0,0,0.984010,0.984010,-0.000000
oslo,4,bellman,7,5,0,0.983640,0.983640,-0.000000
oslo,5,bellman,7,0,0,0.981800,0.981800,0.000000
paris,0,bellman,7,5,0,0.969320,0.969320,0.000000
paris,1,bellman,7,0,0,0.972860,0.972860,0.000000
paris,2,bellman,7,0,0,0.971330,0.971330,-0.000000
paris,3,bellman,7,0,0,0.971030,0.971030,-0.000000
algiers,0,bellman,7,4,0,0.967230,0.964330,0.002900
algiers,1,bellman,7,0,0,0.975250,0.975250,0.000000
algiers,2,bellman,7,4,0,0.948790,0.947730,0.001060
algiers,3,bellman,7,0,0,0.959780,0.959780,-0.000000
nairobi,0,bellman,7,0,0,0.985600,0.985600,-0.000000
nairobi,1,bellman,7,3,0,0.984420,0.984420,-0.000000
nairobi,2,bellman,7,3,0,0.977010,0.977010,0.000000
nairobi,3,bellman,7,3,0,0.981770,0.981770,0.000000
nairobi,4,bellman,7,0,0,0.980040,0.980040,-0.000000
nairobi,5,bellman,7,3,0,0.976440,0.976440,-0.000000
